PRISE SUBPROGRAMA XVII (2013-2015) - ENTRADA 2016 - PONTUAÇÃO DA REDAÇÃO (EXCLUINDO FALTOSOS),,,,,,,
INSCRICAO,REDACAO_TEMA,REDACAO_COLETANEA,REDACAO_TIPO_TEXTO,REDACAO_NORMA_CULTA,REDACAO_COESAO,REDACAO_COERENCIA,REDACAO_TOTAL
36560,"4,50","4,50","4,50","5,00","5,00","4,50","28,00"
44497,"4,00","4,00","5,00","5,00","5,00","5,00","28,00"
34811,"4,00","4,00","4,00","5,00","5,00","4,00","26,00"
37681,"4,50","4,00","4,00","4,50","5,00","4,00","26,00"
35240,"4,00","3,50","4,50","4,00","4,00","5,00","25,00"
34844,"3,00","3,00","4,00","5,00","5,00","4,50","24,50"
33493,"3,50","2,50","3,00","1,50","3,50","4,00","18,00"
33083,"2,50","2,50","3,50","4,50","3,50","3,50","20,00"
33991,"3,50","3,00","3,50","3,00","4,50","4,00","21,50"
34292,"4,00","4,00","4,00","3,00","0,00","4,00","19,00"
34841,"3,50","3,50","4,00","4,50","3,50","4,00","23,00"
35121,"4,00","3,50","2,50","4,00","3,00","4,00","21,00"
34714,"2,00","1,00","2,00","0,00","1,00","2,00","8,00"
33787,"1,00","1,00","2,00","1,00","3,00","1,00","9,00"
33856,"2,50","2,50","2,00","0,00","1,50","2,00","10,50"
33870,"2,00","2,50","2,00","0,00","3,00","3,50","13,00"
33908,"2,00","2,00","3,00","1,00","4,00","2,00","14,00"
33930,"3,00","2,50","3,00","2,00","3,50","3,00","17,00"
